asn=1364 	id=5   	RPL	DIO output to 2
asn=1364 	id=6   	RPL	DIO input from 2
asn=1364 	id=6   	RPL	DIO output to 2
asn=1378 	id=1   	RPL	DAO input from 3
asn=1378 	id=1   	Node	Route added to destination node id: 3 through next hop node id: 3 in the routing table of node: 1
asn=1378 	id=1   	TSCH	Orchestra: child added 3
asn=1378 	id=1   	TSCH	Orchestra: storing mode: add uc cell to 3, timeslot=3
asn=1378 	id=1   	Node	Add cell in timeslot: 3 channel offset: 3 in slotframe: 3
asn=1378 	id=1   	RPL	DAO ACK output 241 0
asn=1378 	id=3   	Node	tx done from=3 source=3 to=1 destination=1 numtx=1 seqnum=-1 packet buffer: timeslot: 1 channel offset: 3 acked=true, remove packet[NODE]
asn=1378 	id=3   	TSCH	Orchestra: parent acked a DAO
asn=1379 	id=5   	Node	tx done from=5 source=5 to=2 destination=2 numtx=1 seqnum=-1 packet buffer: timeslot: 2 channel offset: 4 acked=false[NODE]
asn=1379 	id=6   	Node	tx done from=6 source=6 to=2 destination=2 numtx=1 seqnum=-1 packet buffer: timeslot: 2 channel offset: 4 acked=false[NODE]
asn=1380 	id=3   	RPL	got DAO ACK seqno 241 (our 241), status 0
asn=1380 	id=1   	Node	tx done from=1 source=1 to=3 destination=3 numtx=1 seqnum=-1 packet buffer: timeslot: 3 channel offset: 5 acked=true, remove packet[NODE]
asn=1430 	id=5   	Node	tx done from=5 source=5 to=2 destination=2 numtx=2 seqnum=-1 packet buffer: timeslot: 2 channel offset: 4 acked=false[NODE]
asn=1430 	id=6   	Node	tx done from=6 source=6 to=2 destination=2 numtx=2 seqnum=-1 packet buffer: timeslot: 2 channel offset: 4 acked=false[NODE]
asn=1498 	id=2   	Node	add neighbor id=5 [NODE]
asn=1498 	id=2   	RPL	DIO input from 5
asn=1498 	id=5   	Node	tx done from=5 source=5 to=2 destination=2 numtx=3 seqnum=-1 packet buffer: timeslot: 2 channel offset: 4 acked=true, remove packet[NODE]
asn=1498 	id=5   	RPL	DIO output to 2
asn=1513 	id=7   	Node	scanning on channel=20...[NODE]
asn=1515 	id=2   	RPL	DIO input from 5
asn=1515 	id=5   	Node	tx done from=5 source=5 to=2 destination=2 numtx=1 seqnum=-1 packet buffer: timeslot: 2 channel offset: 4 acked=true, remove packet[NODE]
asn=1515 	id=5   	RPL	parent switch: null -> 2
asn=1515 	id=5   	RPL	Add default route method called with 2[ROUTE]
asn=1515 	id=5   	RPL	add the default route via 2[ROUTE]
asn=1515 	id=5   	RPL	prefix = 0, nexthop = 2
asn=1515 	id=5   	Node	update time source called [NODE]
asn=1549 	id=2   	Node	add neighbor id=6 [NODE]
asn=1549 	id=2   	RPL	DIO input from 6
asn=1549 	id=6   	Node	tx done from=6 source=6 to=2 destination=2 numtx=3 seqnum=-1 packet buffer: timeslot: 2 channel offset: 4 acked=true, remove packet[NODE]
asn=1549 	id=6   	RPL	DIO output to 2
asn=1566 	id=2   	RPL	DIO input from 6
asn=1566 	id=6   	Node	tx done from=6 source=6 to=2 destination=2 numtx=1 seqnum=-1 packet buffer: timeslot: 2 channel offset: 4 acked=true, remove packet[NODE]
asn=1566 	id=6   	RPL	parent switch: null -> 2
asn=1566 	id=6   	RPL	Add default route method called with 2[ROUTE]
asn=1566 	id=6   	RPL	add the default route via 2[ROUTE]
asn=1566 	id=6   	RPL	prefix = 0, nexthop = 2
asn=1566 	id=6   	Node	update time source called [NODE]
asn=1613 	id=7   	Node	scanning on channel=25...[NODE]
asn=1662 	id=7   	RPL	DIS output to -1
asn=1703 	id=3   	RPL	DIO output to -1
asn=1705 	id=1   	RPL	DIO input from 3
asn=1773 	id=6   	RPL	DAO output
asn=1787 	id=2   	RPL	DAO input from 6
asn=1787 	id=2   	Node	Route added to destination node id: 6 through next hop node id: 6 in the routing table of node: 2
asn=1787 	id=2   	TSCH	Orchestra: child added 6
asn=1787 	id=2   	TSCH	Orchestra: storing mode: add uc cell to 6, timeslot=6
asn=1787 	id=2   	Node	Add cell in timeslot: 6 channel offset: 4 in slotframe: 3
asn=1787 	id=2   	RPL	DAO ACK output 241 0
